,method,test
113,"    Class<?> toClass(final Type type) {
        final String className;
        if (type.getSort() == Type.ARRAY) {
            className = type.getElementType().getClassName();
        } else {
            className = type.getClassName();
        }
        Class<?> result;
        try {
            result = Class.forName(className);
        } catch (final ClassNotFoundException e) {
            try {
                result = getArchive().loadClass(className);
            } catch (final ClassNotFoundException e1) {
                throw new RuntimeException(e1);
            }
        }
        if (type.getSort() == Type.ARRAY) {
            final int[] dims = new int[type.getDimensions()];
            Arrays.fill(dims, 0);
            result = Array.newInstance(result, dims).getClass();
        }
        return result;
    }","  public void test3()  throws Throwable  {
      Class<ClassesArchive> class0 = ClassesArchive.class;
      MetaAnnotatedClass<ClassesArchive> metaAnnotatedClass0 = new MetaAnnotatedClass<ClassesArchive>(class0);
      ClassLoader classLoader0 = metaAnnotatedClass0.getClassLoader();
      MockFile mockFile0 = new MockFile(""%s(arg%s)"");
      FileArchive fileArchive0 = new FileArchive(classLoader0, mockFile0, ""org.apache.commons.weaver.Finder$IncludesClassfile"");
      Finder finder0 = new Finder(fileArchive0);
      Class<Archive> class1 = Archive.class;
      Type type0 = Type.getType(class1);
      Class<?> class2 = finder0.toClass(type0);
}"
114,"    static <T> Predicate<T> isCtor(final Function<? super T, MethodInfo> xform) {
        return t -> CTOR.test(xform.apply(t));
    }","  public void test4()  throws Throwable  {
      UnaryOperator<AnnotationFinder.MethodInfo> unaryOperator0 = UnaryOperator.identity();
      Predicate<AnnotationFinder.MethodInfo> predicate0 = Finder.isCtor((Function<? super AnnotationFinder.MethodInfo, AnnotationFinder.MethodInfo>) unaryOperator0);
}"
115,"    static Predicate<Annotated<?>> hasAnnotation(final Class<? extends Annotation> annotation) {
        return annotated -> annotated != null && annotated.isAnnotationPresent(annotation);
    }","  public void test5()  throws Throwable  {
      Class<Annotation> class0 = Annotation.class;
      Predicate<Annotated<?>> predicate0 = Finder.hasAnnotation(class0);
}"
116,"    static <T, U> Stream<U> typed(final Class<U> type, final Supplier<Stream<T>> stream) {
        return stream.get().filter(type::isInstance).map(type::cast);
    }","  public void test6()  throws Throwable  {
      Class<Annotation> class0 = Annotation.class;
      Supplier<Stream<Method>> supplier0 = (Supplier<Stream<Method>>) mock(Supplier.class, new ViolatedAssumptionAnswer());
      doReturn((Object) null).when(supplier0).get();
      // Undeclared exception!
      try { 
        Finder.typed(class0, supplier0);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.Finder"", e);
      }
  }"
117,"    static <T, U> Stream<U> typed(final Class<U> type, final Supplier<Stream<T>> stream) {
        return stream.get().filter(type::isInstance).map(type::cast);
    }","  public void test7()  throws Throwable  {
      Class<Integer> class0 = Integer.class;
      MetaAnnotatedConstructor<Archive>[] metaAnnotatedConstructorArray0 = (MetaAnnotatedConstructor<Archive>[]) Array.newInstance(MetaAnnotatedConstructor.class, 0);
      Stream<MetaAnnotatedConstructor<Archive>> stream0 = Stream.of(metaAnnotatedConstructorArray0);
      Predicate<Object> predicate0 = Predicate.isEqual((Object) class0);
      stream0.noneMatch(predicate0);
      Supplier<Stream<MetaAnnotatedConstructor<Archive>>> supplier0 = (Supplier<Stream<MetaAnnotatedConstructor<Archive>>>) mock(Supplier.class, new ViolatedAssumptionAnswer());
      doReturn(stream0).when(supplier0).get();
      // Undeclared exception!
      try { 
        Finder.typed(class0, supplier0);
        fail(""Expecting exception: IllegalStateException"");
      } catch(IllegalStateException e) {
         //
         // stream has already been operated upon or closed
         //
         verifyException(""java.util.stream.AbstractPipeline"", e);
      }
  }"
118,"    Class<?> toClass(final Type type) {
        final String className;
        if (type.getSort() == Type.ARRAY) {
            className = type.getElementType().getClassName();
        } else {
            className = type.getClassName();
        }
        Class<?> result;
        try {
            result = Class.forName(className);
        } catch (final ClassNotFoundException e) {
            try {
                result = getArchive().loadClass(className);
            } catch (final ClassNotFoundException e1) {
                throw new RuntimeException(e1);
            }
        }
        if (type.getSort() == Type.ARRAY) {
            final int[] dims = new int[type.getDimensions()];
            Arrays.fill(dims, 0);
            result = Array.newInstance(result, dims).getClass();
        }
        return result;
    }","  public void test8()  throws Throwable  {
      MockThread mockThread0 = new MockThread();
      ClassLoader classLoader0 = mockThread0.getContextClassLoader();
      ArrayList<URL> arrayList0 = new ArrayList<URL>(151);
      ClasspathArchive classpathArchive0 = new ClasspathArchive(classLoader0, arrayList0);
      Finder finder0 = new Finder(classpathArchive0);
      Type type0 = Type.VOID_TYPE;
      // Undeclared exception!
      try { 
        finder0.toClass(type0);
        fail(""Expecting exception: RuntimeException"");
      } catch(RuntimeException e) {
         //
         // java.lang.ClassNotFoundException: Class 'void.class' should be in target project, but could not be found!
         //
         verifyException(""org.apache.commons.weaver.Finder"", e);
      }
  }"
119,"    Class<?> toClass(final Type type) {
        final String className;
        if (type.getSort() == Type.ARRAY) {
            className = type.getElementType().getClassName();
        } else {
            className = type.getClassName();
        }
        Class<?> result;
        try {
            result = Class.forName(className);
        } catch (final ClassNotFoundException e) {
            try {
                result = getArchive().loadClass(className);
            } catch (final ClassNotFoundException e1) {
                throw new RuntimeException(e1);
            }
        }
        if (type.getSort() == Type.ARRAY) {
            final int[] dims = new int[type.getDimensions()];
            Arrays.fill(dims, 0);
            result = Array.newInstance(result, dims).getClass();
        }
        return result;
    }","  public void test9()  throws Throwable  {
      Class<WeaveInterest>[] classArray0 = (Class<WeaveInterest>[]) Array.newInstance(Class.class, 9);
      ClassesArchive classesArchive0 = new ClassesArchive(classArray0);
      ClassFilter classFilter0 = new ClassFilter("">`"");
      IncludeExcludeFilter includeExcludeFilter0 = new IncludeExcludeFilter(classFilter0, classFilter0);
      FilteredArchive filteredArchive0 = new FilteredArchive(classesArchive0, includeExcludeFilter0);
      Finder finder0 = new Finder(filteredArchive0);
      // Undeclared exception!
      try { 
        finder0.toClass((Type) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.Finder"", e);
      }
  }"
120,"    Class<?> toClass(final Type type) {
        final String className;
        if (type.getSort() == Type.ARRAY) {
            className = type.getElementType().getClassName();
        } else {
            className = type.getClassName();
        }
        Class<?> result;
        try {
            result = Class.forName(className);
        } catch (final ClassNotFoundException e) {
            try {
                result = getArchive().loadClass(className);
            } catch (final ClassNotFoundException e1) {
                throw new RuntimeException(e1);
            }
        }
        if (type.getSort() == Type.ARRAY) {
            final int[] dims = new int[type.getDimensions()];
            Arrays.fill(dims, 0);
            result = Array.newInstance(result, dims).getClass();
        }
        return result;
    }","  public void test10()  throws Throwable  {
      Class<WeaveInterest>[] classArray0 = (Class<WeaveInterest>[]) Array.newInstance(Class.class, 8);
      ClassesArchive classesArchive0 = new ClassesArchive(classArray0);
      Finder finder0 = new Finder(classesArchive0);
      Type type0 = Type.getObjectType(""org.apache.xbean.finder.archive.BundleArchive"");
      // Undeclared exception!
      try { 
        finder0.toClass(type0);
        fail(""Expecting exception: NoClassDefFoundError"");
      } catch(NoClassDefFoundError e) {
      }
  }"
121,"    Class<?> toClass(final Type type) {
        final String className;
        if (type.getSort() == Type.ARRAY) {
            className = type.getElementType().getClassName();
        } else {
            className = type.getClassName();
        }
        Class<?> result;
        try {
            result = Class.forName(className);
        } catch (final ClassNotFoundException e) {
            try {
                result = getArchive().loadClass(className);
            } catch (final ClassNotFoundException e1) {
                throw new RuntimeException(e1);
            }
        }
        if (type.getSort() == Type.ARRAY) {
            final int[] dims = new int[type.getDimensions()];
            Arrays.fill(dims, 0);
            result = Array.newInstance(result, dims).getClass();
        }
        return result;
    }","  public void test11()  throws Throwable  {
      Class<AnnotationFinder.MethodInfo>[] classArray0 = (Class<AnnotationFinder.MethodInfo>[]) Array.newInstance(Class.class, 8);
      ClassesArchive classesArchive0 = new ClassesArchive(classArray0);
      Finder finder0 = new Finder(classesArchive0);
      Type type0 = Type.getMethodType(""AI|n(\""B8;BbejJq\""<y"");
      // Undeclared exception!
      try { 
        finder0.toClass(type0);
        fail(""Expecting exception: AssertionError"");
      } catch(AssertionError e) {
         //
         // no message in exception (getMessage() returned null)
         //
      }
  }"
122,"    public ScanResult scan(final ScanRequest request) {
        final ScanResult result = new ScanResult();

        if (!request.isConstrained() || request.getSupertypes().contains(Object.class)) {
            for (final Annotated<Class<?>> type : this.withAnnotations().getAllClasses()) {
                result.getWeavable(type.get()).addAnnotations(type.getAnnotations());
            }
        } else {
            for (final WeaveInterest interest : request.getInterests()) {
                final ElementType target = interest.target;
                switch (target) {
                case PACKAGE:
                    for (final Annotated<Package> pkg : this.withAnnotations().findAnnotatedPackages(
                        interest.annotationType)) {
                        result.getWeavable(pkg.get()).addAnnotations(pkg.getAnnotations());
                    }
                    break;
                case TYPE:
                    for (final Annotated<Class<?>> type : this.withAnnotations().findAnnotatedClasses(
                        interest.annotationType)) {
                        result.getWeavable(type.get()).addAnnotations(type.getAnnotations());
                    }
                    break;
                case METHOD:
                    for (final Annotated<Method> method : this.withAnnotations().findAnnotatedMethods(
                        interest.annotationType)) {
                        result.getWeavable(method.get()).addAnnotations(method.getAnnotations());
                    }
                    break;
                case CONSTRUCTOR:
                    for (final Annotated<Constructor<?>> ctor : this.withAnnotations().findAnnotatedConstructors(
                        interest.annotationType)) {
                        result.getWeavable(ctor.get()).addAnnotations(ctor.getAnnotations());
                    }
                    break;
                case FIELD:
                        for (final Annotated<Field> fld : this.withAnnotations()
                            .findAnnotatedFields(interest.annotationType)) {
                            result.getWeavable(fld.get()).addAnnotations(fld.getAnnotations());
                        }
                        break;
                case PARAMETER:
                    for (final Annotated<Parameter<Method>> parameter : this.withAnnotations()
                        .findAnnotatedMethodParameters(interest.annotationType)) {
                            result.getWeavable(parameter.get().getDeclaringExecutable())
                                .getWeavableParameter(parameter.get().getIndex())
                                .addAnnotations(parameter.getAnnotations());
                        }
                    for (final Annotated<Parameter<Constructor<?>>> parameter : this.withAnnotations()
                        .findAnnotatedConstructorParameters(interest.annotationType)) {
                            result.getWeavable(parameter.get().getDeclaringExecutable())
                                .getWeavableParameter(parameter.get().getIndex())
                                .addAnnotations(parameter.getAnnotations());
                        }
                    break;
                default:
                    // should we log something?
                    break;
                }
            }
            request.getSupertypes().stream().map(this.withAnnotations()::findAssignableTypes)
                .flatMap(Collection::stream)
                .forEach(type -> result.getWeavable(type.get()).addAnnotations(type.getAnnotations()));
        }
        return inflater.inflate(result);
    }","  public void test12()  throws Throwable  {
      Class<Package>[] classArray0 = (Class<Package>[]) Array.newInstance(Class.class, 2);
      ClassesArchive classesArchive0 = new ClassesArchive(classArray0);
      Finder finder0 = new Finder(classesArchive0);
      // Undeclared exception!
      try { 
        finder0.scan((ScanRequest) null);
        fail(""Expecting exception: NullPointerException"");
      } catch(NullPointerException e) {
         //
         // no message in exception (getMessage() returned null)
         //
         verifyException(""org.apache.commons.weaver.Finder"", e);
      }
  }"
